Date,Name,Year,Letterboxd URI,Rating
2014-06-17,Star Wars,1977,https://boxd.it/72s,4
2014-06-17,The Empire Strikes Back,1980,https://boxd.it/27Vw,4
2014-06-17,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2014-06-17,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,3
2014-06-17,American Hustle,2013,https://boxd.it/5dz8,3.5
2014-06-17,Gravity,2013,https://boxd.it/GZY,3.5
2014-06-17,Django Unchained,2012,https://boxd.it/2cCk,2
2014-06-17,The Avengers,2012,https://boxd.it/1xFW,3
2014-06-17,X-Men: First Class,2011,https://boxd.it/FOA,3.5
2014-06-17,How to Train Your Dragon,2010,https://boxd.it/1WRy,3
2014-06-17,The Dark Knight,2008,https://boxd.it/2b0k,4
2014-06-17,Blade Runner,1982,https://boxd.it/2bcA,4
2014-06-17,The Godfather,1972,https://boxd.it/2aNK,4
2014-06-17,2001: A Space Odyssey,1968,https://boxd.it/2bf0,3
2018-07-24,Incredibles 2,2018,https://boxd.it/7IPg,3.5
2018-07-26,Baby Driver,2017,https://boxd.it/bhF2,4
2018-07-26,Pulp Fiction,1994,https://boxd.it/29Pq,3
2018-07-26,Guardians of the Galaxy,2014,https://boxd.it/3VH2,2
2018-07-26,Lady Bird,2017,https://boxd.it/dGNE,4
2018-07-26,Interstellar,2014,https://boxd.it/4VZ8,3.5
2018-07-26,Dunkirk,2017,https://boxd.it/d0Y6,3.5
2018-07-26,Double Indemnity,1944,https://boxd.it/297I,1.5
2018-07-26,Sunset Boulevard,1950,https://boxd.it/2a20,1
2018-09-12,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,3.5
2018-09-27,Columbus,2017,https://boxd.it/eCuA,4.5
2018-09-27,Crazy Rich Asians,2018,https://boxd.it/gfnK,3.5
2018-09-27,Pickpocket,1959,https://boxd.it/29O8,4
2018-09-27,The Bad Sleep Well,1960,https://boxd.it/1iLA,4.5
2018-09-27,Amadeus,1984,https://boxd.it/2aH8,4
2018-09-27,The Canyons,2013,https://boxd.it/3Hbw,0.5
2018-09-27,First Reformed,2017,https://boxd.it/go9C,4
2018-09-27,The Social Network,2010,https://boxd.it/17ue,3.5
2018-09-27,Searching,2018,https://boxd.it/hDPg,3.5
2018-09-27,22 Jump Street,2014,https://boxd.it/5Fvy,3.5
2018-09-27,Melancholia,2011,https://boxd.it/bPI,4.5
2018-09-27,The Wind Rises,2013,https://boxd.it/4JQS,4
2018-09-27,Waking Life,2001,https://boxd.it/1Zdc,4
2018-09-27,Being John Malkovich,1999,https://boxd.it/2ahu,4
2018-09-27,Kick-Ass,2010,https://boxd.it/1zaQ,3.5
2018-09-27,Castle in the Sky,1986,https://boxd.it/1W4G,4
2018-09-27,Manhattan,1979,https://boxd.it/29Na,3.5
2018-09-27,Annie Hall,1977,https://boxd.it/29M2,4
2018-09-27,"Love, Simon",2018,https://boxd.it/g02s,3.5
2018-09-27,Magnolia,1999,https://boxd.it/2aze,4
2018-09-27,Vertigo,1958,https://boxd.it/2apI,4
2018-09-27,12 Angry Men,1957,https://boxd.it/2auI,4
2018-09-27,Eyes Wide Shut,1999,https://boxd.it/2axs,3.5
2018-09-27,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4.5
2018-09-27,Boyhood,2014,https://boxd.it/3178,4
2018-09-27,Spirited Away,2001,https://boxd.it/2b4m,4
2018-09-27,American Beauty,1999,https://boxd.it/71Y,4
2018-09-27,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2018-09-27,Her,2013,https://boxd.it/4O24,4
2018-09-27,Batman Begins,2005,https://boxd.it/2aIg,4
2018-09-27,The Dark Knight Rises,2012,https://boxd.it/H3m,4
2018-09-27,The Prestige,2006,https://boxd.it/293w,3.5
2018-09-27,12 Years a Slave,2013,https://boxd.it/2D2e,3.5
2018-09-27,Good Morning,1959,https://boxd.it/2lkk,4.5
2018-09-27,Taxi Driver,1976,https://boxd.it/2b8y,4
2018-09-27,The Square,2017,https://boxd.it/e5YW,2
2018-09-27,Force Majeure,2014,https://boxd.it/7UcA,4
2018-09-27,Winter Sleep,2014,https://boxd.it/7Ua0,4.5
2018-09-28,"Like Father, Like Son",2013,https://boxd.it/5rQs,4.5
2018-09-28,Still Walking,2008,https://boxd.it/1wvm,3.5
2018-09-28,21 Jump Street,2012,https://boxd.it/J0,3
2018-09-28,Frozen,2013,https://boxd.it/3GNa,2
2018-09-28,Edge of Tomorrow,2014,https://boxd.it/4pD0,4
2018-10-04,Mystic River,2003,https://boxd.it/2aAG,3.5
2018-10-04,Gran Torino,2008,https://boxd.it/1Qzy,4
2018-10-04,Million Dollar Baby,2004,https://boxd.it/2bdI,3.5
2018-10-04,Black Swan,2010,https://boxd.it/Sw0,4
2018-10-04,Somewhere,2010,https://boxd.it/14du,3
2018-10-04,In the Mood for Love,2000,https://boxd.it/29tE,4
2018-10-04,A Separation,2011,https://boxd.it/gvo,4
2018-10-04,Elephant,2003,https://boxd.it/287i,3.5
2018-10-04,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,3
2018-10-04,A Ghost Story,2017,https://boxd.it/fb0K,3
2018-10-04,Grave of the Fireflies,1988,https://boxd.it/1RUM,4
2018-10-04,The Tale of The Princess Kaguya,2013,https://boxd.it/4JQI,4.5
2018-10-04,5 Centimeters per Second,2007,https://boxd.it/16G4,4
2018-10-04,Your Name.,2016,https://boxd.it/cUqs,3.5
2018-10-04,The Garden of Words,2013,https://boxd.it/5Ymq,4
2018-10-04,Bowling for Columbine,2002,https://boxd.it/28Ls,0.5
2018-10-04,Where to Invade Next,2015,https://boxd.it/bQiC,0.5
2018-10-04,Team America: World Police,2004,https://boxd.it/24QS,4
2018-10-04,Inception,2010,https://boxd.it/1skk,4.5
2018-10-04,The Bourne Identity,2002,https://boxd.it/26EO,0.5
2018-10-04,Adaptation.,2002,https://boxd.it/26mA,4
2018-10-04,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,4
2018-10-04,Pan's Labyrinth,2006,https://boxd.it/28No,4
2018-10-04,Before Sunset,2004,https://boxd.it/2bcg,4
2018-10-04,Silence,2016,https://boxd.it/2cAo,4
2018-10-18,The Kindergarten Teacher,2018,https://boxd.it/hE3i,4
2018-10-18,A Star Is Born,2018,https://boxd.it/aXgc,2
2018-10-27,It Follows,2014,https://boxd.it/87wo,1.5
2018-10-27,Tokyo Story,1953,https://boxd.it/1HuY,4
2018-10-28,There Will Be Blood,2007,https://boxd.it/20Z2,3.5
2018-10-28,American Sniper,2014,https://boxd.it/5LDy,3
2018-10-29,Letters from Iwo Jima,2006,https://boxd.it/290C,4
2018-10-29,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,3.5
2018-10-29,I Wish,2011,https://boxd.it/2L3k,3.5
2018-11-08,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/f42u,3
2018-11-15,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,3.5
2018-11-15,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2018-12-17,Gattaca,1997,https://boxd.it/29Du,4
2018-12-17,Shoplifters,2018,https://boxd.it/ifY6,3.5
2018-12-25,The Apartment,1960,https://boxd.it/2aGE,4
2018-12-29,Silver Linings Playbook,2012,https://boxd.it/2TTo,4.5
2018-12-31,Arrival,2016,https://boxd.it/aNGk,4
2018-12-31,Moonlight,2016,https://boxd.it/d6bE,3.5
2018-12-31,Manchester by the Sea,2016,https://boxd.it/b2L0,4
2018-12-31,Me and Earl and the Dying Girl,2015,https://boxd.it/9SAE,3.5
2019-01-01,Burn After Reading,2008,https://boxd.it/23BW,3
2019-01-01,The Christmas Chronicles,2018,https://boxd.it/ja7e,0.5
2019-01-01,Ordinary People,1980,https://boxd.it/1JTm,4.5
2019-01-03,Burning,2018,https://boxd.it/hHUa,4
2019-03-08,Crumb,1994,https://boxd.it/1tDi,4.5
2019-04-14,There's Something About Mary,1998,https://boxd.it/2aae,0.5
2019-04-18,Rosemary's Baby,1968,https://boxd.it/29zM,4.5
2019-05-29,Captain Marvel,2019,https://boxd.it/9vSA,1
2019-06-04,Bohemian Rhapsody,2018,https://boxd.it/f1TK,0.5
2019-06-10,I Want to Eat Your Pancreas,2018,https://boxd.it/ie6C,0.5
2019-06-29,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2019-08-22,Rocketman,2019,https://boxd.it/iehK,0.5
2019-10-11,Joker,2019,https://boxd.it/h4cS,1.5
2020-08-02,Starship Troopers,1997,https://boxd.it/2a7k,1.5
2020-09-09,The Piano Teacher,2001,https://boxd.it/2886,5
2020-11-17,Die Hard,1988,https://boxd.it/2a7u,1
2021-04-17,Promising Young Woman,2020,https://boxd.it/loRE,1
2021-12-22,The Graduate,1967,https://boxd.it/18Im,5
2022-05-11,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/T18,5
2022-08-13,Love Exposure,2008,https://boxd.it/1pDe,5
2023-03-28,The Card Counter,2021,https://boxd.it/nTH0,4
2023-03-28,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,5
2024-03-24,Road House,2024,https://boxd.it/cdzQ,0.5
2024-03-24,Dune: Part Two,2024,https://boxd.it/pUfA,1
2024-08-07,The Tatami Galaxy,2010,https://boxd.it/oL50,4.5
2024-08-07,Ping Pong the Animation,2014,https://boxd.it/oL1s,4.5
2025-10-04,One Battle After Another,2025,https://boxd.it/DUHM,2
2025-12-27,Avatar: Fire and Ash,2025,https://boxd.it/2W7s,0.5
2026-01-30,La La Land,2016,https://boxd.it/a5fa,4
